vehicles_id,animals,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram,vehicle_other
1c2b1i,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
1c3w,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1c1T1i,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1f1w,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2c2p1i,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1w2T,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1c1B1b,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1c1w1mc,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1u2w1T,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1B1i,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2c2i,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1c2T,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2u1v1T,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3c1i,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2c1v2w,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1a1mc,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1mc1o,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1c1v1x,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2c1mc,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1f1i,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2u1v,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7c2u3w1T,0,7,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
